user_sn,review_count,avg_finish_rate,finish_rate_std,pause_count,learning_duration,video_end_duration,avg_video_length,chinese_score,math_score,english_score,cluster
2697,0,,,0,,,,80,52,86,1
4381,0,,,0,,,,70,52,57,1
4561,14,71.85714285714286,4.258153136263201,0,0.0,65.59,225.404,77,56,100,2
6802,0,,,0,,,,93,60,49,1
6828,0,,,0,,,,83,52,89,1
8634,350,64.32571428571428,35.97176816323038,0,380.3,695.32,388.1298571428572,37,24,63,5
11303,239,71.40167364016736,40.667303537597526,0,609.75,873.11,415.73156485355645,47,20,66,5
11312,665,73.20601503759399,35.09369506968953,0,97.07,644.2,289.37297593984965,97,72,97,3
13328,349,74.65042979942693,32.24784375022428,0,545.32,873.11,419.50187965616044,70,44,94,0
14314,0,,,0,,,,77,64,97,1
14503,67,51.0,41.30705420715363,0,63.5,351.96000000000004,390.2856567164179,53,20,89,1
15995,156,77.46153846153847,34.57453558858388,0,502.06,544.13,345.11060897435897,80,60,94,1
17422,32,100.0,0.0,0,0.0,320.17999999999995,302.7715625,87,60,97,2
20034,407,74.51105651105651,33.96121013315961,0,853.74,953.49,455.2698353808354,70,60,83,0
23061,0,,,0,,,,37,36,49,5
23250,640,75.2890625,35.99325105051561,0,528.32,953.49,516.8245390625,87,36,97,0
23415,0,,,0,,,,23,24,29,5
30835,0,,,0,,,,73,68,97,1
32737,181,59.07734806629834,44.83493907453278,0,0.0,538.59,413.4011712707182,80,88,100,3
38371,14,39.142857142857146,47.132965995325215,0,270.65,269.88,270.26635714285715,37,24,17,5
38614,76,47.18421052631579,40.36325408960178,0,544.64,890.25,449.7001315789474,73,40,97,1
42229,0,,,0,,,,67,44,43,1
42415,356,71.62359550561797,35.79800772636334,0,739.33,863.34,503.00053089887643,77,24,77,0
46696,426,67.79107981220658,35.22674138319241,0,531.42,695.32,449.12842253521126,67,60,74,0
49363,125,36.84,34.68880083291734,0,137.07,250.72,348.113952,87,28,89,3
50836,163,40.59509202453988,47.35818831474069,0,49.65,313.19,238.38710429447852,80,68,94,3
54952,135,58.74074074074074,45.07969112234482,0,235.1,895.27,424.53461481481486,57,44,97,1
62947,481,69.72349272349273,38.86880241413157,0,452.56,873.11,420.65870893970896,80,52,94,0
65038,411,61.84184914841849,43.41840455536438,0,438.9,900.0,364.3463527980535,80,76,80,0
75997,0,,,0,,,,83,52,86,1
79642,0,,,0,,,,50,32,43,5
80380,0,,,0,,,,40,32,29,5
82762,0,,,0,,,,63,24,69,5
87634,0,,,0,,,,97,76,97,1
104242,46,45.869565217391305,47.08413684064925,0,0.0,128.89,310.49602173913047,90,56,89,3
106042,139,48.42446043165467,43.865898811162,0,405.81,477.2,385.46106474820147,87,76,97,1
106132,0,,,0,,,,30,44,34,5
106735,202,71.0940594059406,37.56196955131039,0,815.55,873.11,467.93770297029704,37,24,40,5
108139,628,68.1592356687898,36.43784063793922,0,829.61,953.21,464.75932006369425,70,44,97,0
108343,43,82.32558139534883,32.48715565253484,0,0.0,302.53,361.15181395348833,90,64,100,3
108886,0,,,0,,,,60,44,71,1
112627,540,75.20555555555555,39.92298205270004,0,318.18,900.0,384.4901074074074,73,40,94,0
122299,723,62.32780082987552,42.14365537832775,0,477.19,953.49,469.4004439834025,43,24,37,5
122416,343,36.160349854227405,39.102212017641236,0,506.32,538.66,378.77266180758016,50,28,31,5
128878,210,76.8,38.242590050621615,0,177.65,443.21000000000004,260.049,73,48,94,3
128932,83,89.80722891566265,29.442154046712904,0,0.0,678.8,361.6539397590362,37,44,49,4
143197,188,55.388297872340424,38.36795219158873,0,105.92,247.45,218.9336914893617,73,52,94,3
143323,0,,,0,,,,73,60,74,1
149800,0,,,0,,,,83,48,97,1
162052,164,63.542682926829265,41.477520056753114,0,461.06,512.88,352.8985731707317,77,60,100,1
163096,0,,,0,,,,87,40,100,1
169813,0,,,0,,,,83,44,77,1
174793,0,,,0,,,,60,56,83,1
175582,0,,,0,,,,67,16,34,5
183190,0,,,0,,,,63,48,66,1
189454,0,,,0,,,,53,36,83,1
195388,0,,,0,,,,67,52,94,1
200920,318,50.4937106918239,43.103188030167644,0,728.9,900.0,323.9828773584906,30,28,40,5
201286,731,47.103967168262656,39.73404906969453,0,646.66,900.0,425.2049247606019,73,60,89,0
203770,133,61.285714285714285,35.72889744386345,0,730.77,876.49,310.1239022556391,87,48,97,1
209884,0,,,0,,,,70,48,66,1
212767,291,72.45704467353951,36.51897065146859,0,681.6,864.96,396.1118006872852,43,36,63,5
216079,0,,,0,,,,63,36,83,1
216784,0,,,0,,,,40,24,23,5
221236,387,74.66149870801034,36.991199637181204,0,393.86,873.11,427.9561834625323,80,40,89,0
223594,167,69.79640718562874,42.96391578177066,0,56.24,393.23,326.04797005988024,60,44,71,3
224032,0,,,0,,,,83,40,66,1
225274,0,,,0,,,,47,24,37,5
232372,415,89.85301204819277,27.18810986810847,0,89.82,656.25,348.42251807228917,53,28,54,4
243283,158,63.62658227848101,38.168998020655856,0,689.02,900.0,471.77674050632913,90,64,100,0
246112,1549,62.16010329244674,45.199259489368416,0,464.72,900.0,401.6841846352486,63,64,74,0
247933,0,,,0,,,,73,44,71,1
250399,567,79.8447971781305,36.66374621457902,0,613.8,953.49,441.51772134038805,60,36,80,0
255091,1433,73.28262386601536,39.087876727663264,0,883.97,900.0,416.0815778087927,70,52,91,0
260608,0,,,0,,,,80,44,80,1
260818,157,48.4203821656051,37.82620977585329,0,536.28,542.04,348.00994267515927,80,52,74,1
269746,290,56.80689655172414,38.68366903295051,0,533.05,544.09,338.6387137931034,97,36,100,1
270670,0,,,0,,,,63,44,54,1
272512,0,,,0,,,,67,40,66,1
272527,281,70.72953736654804,35.36086642643336,0,338.0,695.21,343.18304982206405,77,64,63,1
278962,129,71.9922480620155,28.986930277937066,0,164.46,310.61,264.98731782945737,73,56,97,3
283450,0,,,0,,,,63,56,97,1
286321,338,75.9171597633136,30.149758770625716,0,684.99,764.2,437.13650000000007,57,48,66,0
286903,396,35.724747474747474,40.819051070741665,0,253.28,687.25,382.57038131313135,80,48,71,1
288079,71,60.436619718309856,41.57118933463628,0,573.69,696.49,317.21071830985915,90,44,97,1
296062,0,,,0,,,,90,44,40,1
304753,0,,,0,,,,80,44,77,1
307570,410,54.72682926829268,40.31500066266201,0,320.02,695.32,394.94212195121946,67,56,63,1
311086,635,82.0267716535433,33.65557933416745,0,228.03,518.16,272.3450787401575,67,44,37,4
311152,619,75.04846526655896,34.15684710203013,0,443.19,513.48,254.64825686591277,70,40,23,4
312031,6,14.0,0.0,0,0.0,0.0,335.68,80,68,97,2
313378,486,46.58024691358025,43.20734880149871,0,279.4,585.35,432.71062757201645,37,36,34,5
313897,696,85.99281609195403,32.6081369568889,0,485.09,900.0,403.07412068965516,73,64,89,0
314389,63,96.92063492063492,17.14294888181632,0,315.26,534.5699999999999,383.4231587301587,87,68,97,1
316786,136,70.63970588235294,42.626834322493366,0,0.0,592.62,270.89502205882354,77,60,91,3
